user_id,primary_device,churned_id
U100000,Laptop,0
U100001,Tablet,0
U100002,Tablet,0
U100003,Smart TV,0
U100004,Mobile,0
U100005,Tablet,0
U100006,Tablet,0
U100007,Mobile,0
U100008,Laptop,0
U100009,Mobile,1
U100010,Mobile,0
U100011,Smart TV,0
U100012,Mobile,1
U100013,Smart TV,0
U100014,Mobile,1
U100015,Mobile,0
U100016,Laptop,0
U100017,Tablet,0
U100018,Smart TV,0
U100019,Tablet,0
U100020,Smart TV,0
U100021,Mobile,0
U100022,Mobile,1
U100023,Tablet,1
U100024,Tablet,0
U100025,Smart TV,0
U100026,Smart TV,0
U100027,Smart TV,0
U100028,Mobile,0
U100029,Mobile,1
U100030,Smart TV,0
U100031,Smart TV,0
U100032,Mobile,0
U100033,Tablet,1
U100034,Tablet,1
U100035,Laptop,0
U100036,Mobile,0
U100037,Laptop,1
U100038,Mobile,0
U100039,Tablet,0
U100040,Laptop,0
U100041,Laptop,0
U100042,Laptop,0
U100043,Laptop,0
U100044,Laptop,0
U100045,Tablet,0
U100046,Tablet,1
U100047,Laptop,0
U100048,Smart TV,0
U100049,Smart TV,0
U100050,Tablet,0
U100051,Smart TV,0
U100052,Tablet,1
U100053,Mobile,0
U100054,Tablet,0
U100055,Smart TV,0
U100056,Laptop,0
U100057,Laptop,0
U100058,Laptop,0
U100059,Mobile,0
U100060,Tablet,0
U100061,Smart TV,0
U100062,Tablet,0
U100063,Tablet,0
U100064,Laptop,1
U100065,Mobile,0
U100066,Laptop,0
U100067,Laptop,0
U100068,Smart TV,0
U100069,Laptop,0
U100070,Laptop,0
U100071,Mobile,0
U100072,Tablet,0
U100073,Mobile,0
U100074,Smart TV,0
U100075,Tablet,0
U100076,Smart TV,0
U100077,Laptop,0
U100078,Smart TV,0
U100079,Smart TV,0
U100080,Laptop,0
U100081,Tablet,0
U100082,Smart TV,0
U100083,Laptop,0
U100084,Tablet,0
U100085,Tablet,0
U100086,Laptop,0
U100087,Smart TV,0
U100088,Mobile,0
U100089,Mobile,0
U100090,Tablet,0
U100091,Smart TV,1
U100092,Laptop,0
U100093,Smart TV,0
U100094,Mobile,0
U100095,Laptop,0
U100096,Tablet,0
U100097,Mobile,0
U100098,Mobile,0
U100099,Smart TV,0
U100100,Smart TV,0
U100101,Smart TV,1
U100102,Laptop,0
U100103,Smart TV,0
U100104,Tablet,1
U100105,Mobile,0
U100106,Mobile,1
U100107,Mobile,0
U100108,Laptop,0
U100109,Mobile,0
U100110,Laptop,0
U100111,Laptop,0
U100112,Mobile,1
U100113,Smart TV,0
U100114,Mobile,0
U100115,Tablet,0
U100116,Laptop,0
U100117,Laptop,0
U100118,Laptop,1
U100119,Laptop,0
U100120,Mobile,0
U100121,Mobile,0
U100122,Mobile,1
U100123,Laptop,0
U100124,Tablet,0
U100125,Tablet,1
U100126,Tablet,0
U100127,Mobile,1
U100128,Smart TV,0
U100129,Mobile,0
U100130,Mobile,1
U100131,Laptop,0
U100132,Mobile,0
U100133,Laptop,0
U100134,Smart TV,0
U100135,Smart TV,0
U100136,Laptop,1
U100137,Mobile,0
U100138,Smart TV,0
U100139,Laptop,1
U100140,Laptop,0
U100141,Mobile,1
U100142,Smart TV,0
U100143,Mobile,0
U100144,Smart TV,0
U100145,Mobile,0
U100146,Smart TV,0
U100147,Tablet,0
U100148,Tablet,0
U100149,Mobile,0
U100150,Tablet,0
U100151,Tablet,0
U100152,Laptop,0
