user_id,country,avg_watch_time_minutes
U100000,India,220
U100001,USA,76
U100002,USA,215
U100003,Canada,280
U100004,Brazil,261
U100005,France,92
U100006,Brazil,111
U100007,Australia,293
U100008,Australia,202
U100009,UK,246
U100010,Brazil,44
U100011,France,182
U100012,Australia,42
U100013,UK,68
U100014,Japan,150
U100015,Germany,294
U100016,India,141
U100017,Canada,154
U100018,Brazil,219
U100019,USA,20
U100020,USA,283
U100021,Japan,80
U100022,UK,275
U100023,USA,171
U100024,Brazil,241
U100025,Brazil,52
U100026,India,182
U100027,Australia,128
U100028,UK,127
U100029,UK,18
U100030,Germany,291
U100031,India,242
U100032,Canada,18
U100033,India,271
U100034,Japan,72
U100035,France,212
U100036,USA,122
U100037,Japan,64
U100038,Australia,27
U100039,India,218
U100040,UK,262
U100041,Brazil,263
U100042,Canada,129
U100043,Australia,190
U100044,USA,265
U100045,Spain,123
U100046,Canada,133
U100047,USA,107
U100048,Brazil,126
U100049,Japan,12
U100050,USA,27
U100051,Australia,106
U100052,Spain,285
U100053,France,217
U100054,France,220
U100055,Australia,283
U100056,USA,231
U100057,Japan,52
U100058,France,197
U100059,UK,167
U100060,USA,226
U100061,Canada,251
U100062,Germany,250
U100063,Canada,119
U100064,Brazil,297
U100065,France,44
U100066,Spain,71
U100067,Germany,161
U100068,UK,170
U100069,Japan,95
U100070,UK,297
U100071,UK,175
U100072,UK,182
U100073,Australia,253
U100074,India,283
U100075,Canada,204
U100076,Australia,259
U100077,USA,129
U100078,UK,55
U100079,Canada,235
U100080,France,251
U100081,India,49
U100082,Brazil,165
U100083,UK,75
U100084,Australia,168
U100085,India,266
U100086,Japan,56
U100087,Canada,176
U100088,Australia,188
U100089,Canada,120
U100090,France,10
U100091,Australia,15
U100092,Germany,297
U100093,France,13
U100094,India,242
U100095,Canada,185
U100096,Germany,129
U100097,USA,214
U100098,Brazil,254
U100099,France,10
U100100,Canada,154
U100101,Canada,47
U100102,UK,250
U100103,USA,58
U100104,France,215
U100105,Germany,248
U100106,France,114
U100107,Spain,96
U100108,USA,212
U100109,India,283
U100110,Brazil,212
U100111,Japan,210
U100112,France,235
U100113,France,26
U100114,Germany,36
U100115,Germany,60
U100116,France,235
U100117,India,105
U100118,Spain,131
U100119,France,184
U100120,Canada,61
U100121,UK,184
U100122,Brazil,45
U100123,Germany,77
U100124,Spain,118
U100125,UK,281
U100126,Australia,236
U100127,Germany,175
U100128,UK,93
U100129,Japan,240
U100130,India,134
U100131,UK,182
U100132,UK,208
U100133,USA,241
U100134,Brazil,173
U100135,France,12
U100136,France,206
U100137,France,24
U100138,Brazil,185
U100139,France,271
U100140,Japan,13
U100141,Germany,42
U100142,USA,118
U100143,USA,76
U100144,USA,189
U100145,India,46
U100146,Canada,172
U100147,France,213
U100148,Brazil,235
U100149,Germany,221
U100150,Brazil,142
U100151,India,122
U100152,France,241
U100153,UK,280
U100154,Japan,249
U100155,Spain,252
U100156,Spain,118
U100157,Canada,252
U100158,Germany,270
U100159,Germany,67
U100160,India,66
U100161,Canada,204
U100162,Brazil,212
U100163,India,198
U100164,Germany,69
U100165,Germany,203
U100166,Germany,271
U100167,Brazil,220
U100168,Spain,223
U100169,Brazil,132
U100170,Australia,236
U100171,USA,10
U100172,UK,124
U100173,USA,41
U100174,Brazil,189
U100175,Germany,294
U100176,India,60
U100177,Spain,265
U100178,India,160
U100179,Brazil,169
U100180,Germany,269
U100181,Canada,162
U100182,Australia,69
U100183,UK,37
U100184,UK,82
U100185,Australia,236
U100186,India,138
U100187,UK,114
U100188,Canada,275
U100189,Spain,111
U100190,UK,174
U100191,Australia,105
U100192,France,248
U100193,UK,65
U100194,Brazil,183
U100195,Canada,28
U100196,UK,156
U100197,India,85
U100198,Australia,290
U100199,Australia,279
