user_id,subscription_type,monthly_fee,account_age_months
U100000,Standard,15.99,17
U100001,Standard,12.99,20
U100002,Basic,15.99,25
U100003,Standard,12.99,37
U100004,Premium,12.99,23
U100005,Standard,12.99,23
U100006,Basic,15.99,11
U100007,Standard,15.99,46
U100008,Basic,12.99,20
U100009,Premium,15.99,7
U100010,Standard,12.99,23
U100011,Basic,12.99,23
U100012,Standard,7.99,27
U100013,Standard,7.99,21
U100014,Basic,12.99,21
U100015,Standard,15.99,58
U100016,Premium,7.99,32
U100017,Standard,7.99,50
U100018,Standard,7.99,28
U100019,Basic,7.99,37
U100020,Basic,12.99,2
U100021,Premium,12.99,29
U100022,Premium,7.99,50
U100023,Basic,12.99,9
U100024,Standard,7.99,35
U100025,Standard,12.99,38
U100026,Basic,15.99,39
U100027,Standard,15.99,47
U100028,Premium,7.99,4
U100029,Standard,12.99,22
U100030,Premium,7.99,23
U100031,Basic,7.99,6
U100032,Basic,7.99,36
U100033,Standard,15.99,20
U100034,Premium,15.99,51
U100035,Premium,7.99,5
U100036,Premium,15.99,12
U100037,Standard,7.99,59
U100038,Premium,7.99,1
U100039,Basic,15.99,39
U100040,Standard,15.99,41
U100041,Standard,12.99,3
U100042,Standard,7.99,42
U100043,Standard,15.99,43
U100044,Premium,15.99,56
U100045,Premium,7.99,21
U100046,Standard,15.99,2
U100047,Premium,7.99,32
U100048,Basic,7.99,29
U100049,Basic,15.99,47
U100050,Standard,12.99,28
U100051,Standard,12.99,33
U100052,Basic,12.99,26
U100053,Basic,7.99,15
U100054,Standard,7.99,45
U100055,Standard,15.99,26
U100056,Premium,12.99,9
U100057,Basic,7.99,21
U100058,Premium,15.99,20
U100059,Premium,12.99,49
U100060,Standard,12.99,27
U100061,Standard,7.99,42
U100062,Standard,15.99,1
U100063,Standard,7.99,9
U100064,Standard,15.99,58
U100065,Premium,12.99,51
U100066,Standard,7.99,38
U100067,Standard,7.99,20
U100068,Standard,15.99,57
U100069,Premium,15.99,19
U100070,Basic,7.99,44
U100071,Standard,15.99,11
U100072,Standard,15.99,14
U100073,Premium,12.99,25
U100074,Basic,12.99,12
U100075,Premium,12.99,45
U100076,Premium,12.99,7
U100077,Premium,7.99,3
U100078,Basic,12.99,39
U100079,Premium,12.99,16
U100080,Standard,7.99,1
U100081,Standard,7.99,15
U100082,Basic,15.99,44
U100083,Premium,12.99,11
U100084,Basic,7.99,1
U100085,Standard,12.99,3
U100086,Basic,15.99,22
U100087,Standard,7.99,43
U100088,Premium,15.99,6
U100089,Basic,15.99,22
U100090,Standard,12.99,45
U100091,Premium,7.99,50
U100092,Standard,15.99,28
U100093,Standard,7.99,14
U100094,Basic,12.99,46
U100095,Premium,12.99,32
U100096,Basic,12.99,58
U100097,Standard,15.99,29
U100098,Basic,7.99,5
U100099,Basic,15.99,44
U100100,Premium,15.99,35
U100101,Basic,15.99,11
U100102,Basic,15.99,1
U100103,Premium,7.99,48
U100104,Standard,12.99,7
U100105,Standard,7.99,3
U100106,Standard,12.99,22
U100107,Standard,7.99,31
U100108,Standard,7.99,3
U100109,Standard,15.99,17
U100110,Basic,12.99,18
U100111,Standard,7.99,15
U100112,Standard,7.99,55
U100113,Premium,7.99,53
U100114,Basic,7.99,38
U100115,Basic,15.99,35
U100116,Premium,15.99,16
U100117,Basic,15.99,41
U100118,Standard,12.99,30
U100119,Basic,12.99,35
U100120,Basic,7.99,52
U100121,Standard,15.99,17
U100122,Standard,12.99,15
U100123,Premium,12.99,42
U100124,Premium,12.99,50
U100125,Basic,7.99,27
U100126,Basic,15.99,1
U100127,Basic,15.99,30
U100128,Premium,12.99,30
U100129,Premium,7.99,5
U100130,Premium,7.99,1
U100131,Basic,15.99,4
U100132,Premium,7.99,11
U100133,Premium,7.99,58
U100134,Premium,7.99,13
U100135,Basic,12.99,10
U100136,Premium,7.99,44
U100137,Standard,15.99,53
U100138,Standard,15.99,24
U100139,Basic,7.99,20
U100140,Premium,15.99,18
U100141,Standard,15.99,23
U100142,Premium,7.99,41
U100143,Standard,7.99,42
U100144,Standard,12.99,43
U100145,Standard,7.99,35
U100146,Standard,12.99,44
U100147,Standard,15.99,27
U100148,Standard,12.99,15
U100149,Basic,15.99,24
U100150,Standard,7.99,30
U100151,Premium,7.99,1
U100152,Basic,7.99,41
U100153,Standard,12.99,3
U100154,Standard,15.99,39
U100155,Standard,15.99,24
U100156,Standard,7.99,32
U100157,Basic,7.99,4
U100158,Premium,15.99,34
U100159,Standard,15.99,1
U100160,Basic,15.99,21
U100161,Standard,7.99,8
U100162,Basic,12.99,46
U100163,Premium,15.99,12
U100164,Standard,12.99,1
U100165,Standard,7.99,22
U100166,Premium,12.99,14
U100167,Standard,12.99,25
U100168,Premium,15.99,28
U100169,Basic,7.99,8
U100170,Basic,15.99,40
U100171,Standard,15.99,37
U100172,Premium,15.99,25
U100173,Premium,15.99,55
U100174,Basic,15.99,23
U100175,Premium,15.99,44
U100176,Standard,12.99,37
U100177,Standard,15.99,41
U100178,Premium,7.99,16
U100179,Standard,15.99,59
U100180,Standard,15.99,4
U100181,Premium,15.99,38
U100182,Premium,12.99,36
U100183,Premium,7.99,33
U100184,Premium,12.99,45
U100185,Standard,12.99,45
U100186,Premium,7.99,49
U100187,Premium,12.99,30
U100188,Basic,7.99,45
U100189,Standard,7.99,57
U100190,Standard,7.99,11
U100191,Basic,15.99,50
U100192,Premium,7.99,47
U100193,Basic,15.99,13
U100194,Basic,15.99,55
U100195,Standard,15.99,44
U100196,Premium,7.99,4
U100197,Basic,12.99,24
U100198,Basic,15.99,33
U100199,Standard,7.99,33
U100200,Premium,12.99,12
U100201,Premium,7.99,21
U100202,Basic,15.99,33
U100203,Standard,15.99,46
U100204,Premium,7.99,33
U100205,Basic,7.99,9
U100206,Standard,7.99,31
U100207,Standard,7.99,58
U100208,Premium,12.99,30
U100209,Basic,7.99,16
U100210,Standard,15.99,12
U100211,Premium,7.99,54
U100212,Standard,7.99,48
U100213,Premium,12.99,9
U100214,Premium,15.99,35
U100215,Standard,15.99,53
U100216,Basic,15.99,43
U100217,Standard,15.99,6
U100218,Standard,12.99,25
U100219,Basic,7.99,56
U100220,Basic,12.99,28
U100221,Standard,7.99,23
U100222,Premium,12.99,29
U100223,Standard,7.99,22
U100224,Basic,7.99,58
U100225,Premium,15.99,58
U100226,Premium,7.99,24
U100227,Basic,15.99,20
U100228,Standard,15.99,27
U100229,Basic,15.99,39
U100230,Premium,12.99,33
U100231,Basic,12.99,19
U100232,Premium,7.99,26
U100233,Basic,7.99,38
U100234,Basic,15.99,3
U100235,Basic,7.99,23
U100236,Premium,12.99,45
U100237,Premium,7.99,59
U100238,Standard,12.99,27
U100239,Premium,15.99,27
U100240,Basic,12.99,10
U100241,Standard,15.99,24
U100242,Premium,15.99,56
U100243,Basic,15.99,49
U100244,Standard,12.99,52
U100245,Basic,7.99,37
U100246,Basic,12.99,41
U100247,Standard,15.99,2
U100248,Premium,7.99,34
U100249,Basic,15.99,22
U100250,Standard,15.99,49
U100251,Premium,7.99,50
U100252,Basic,7.99,2
U100253,Basic,7.99,28
U100254,Standard,7.99,41
U100255,Standard,12.99,40
U100256,Basic,12.99,42
U100257,Standard,15.99,24
U100258,Basic,12.99,38
U100259,Standard,12.99,40
U100260,Premium,12.99,22
U100261,Premium,7.99,3
U100262,Standard,15.99,58
U100263,Standard,7.99,42
U100264,Premium,15.99,37
U100265,Premium,12.99,2
U100266,Standard,7.99,57
U100267,Standard,7.99,23
U100268,Standard,15.99,13
U100269,Standard,7.99,15
U100270,Standard,12.99,33
U100271,Basic,12.99,45
U100272,Standard,15.99,53
U100273,Standard,7.99,13
U100274,Standard,7.99,20
U100275,Premium,7.99,7
U100276,Premium,7.99,56
U100277,Basic,12.99,13
U100278,Standard,12.99,39
U100279,Standard,12.99,4
U100280,Basic,7.99,46
U100281,Premium,12.99,27
U100282,Premium,7.99,32
U100283,Basic,7.99,2
U100284,Basic,12.99,15
U100285,Premium,12.99,5
U100286,Premium,7.99,3
U100287,Basic,15.99,16
U100288,Standard,7.99,49
U100289,Standard,12.99,26
U100290,Premium,12.99,6
U100291,Basic,12.99,35
U100292,Premium,15.99,38
U100293,Basic,7.99,20
U100294,Standard,12.99,22
U100295,Standard,7.99,21
U100296,Premium,12.99,32
U100297,Basic,15.99,1
U100298,Basic,15.99,48
U100299,Standard,12.99,23
U100300,Premium,12.99,18
U100301,Standard,7.99,17
U100302,Standard,7.99,37
U100303,Premium,15.99,31
U100304,Standard,15.99,29
U100305,Basic,12.99,54
U100306,Standard,15.99,13
U100307,Standard,7.99,2
U100308,Premium,12.99,9
U100309,Premium,7.99,32
U100310,Standard,15.99,22
U100311,Standard,15.99,42
U100312,Standard,7.99,18
U100313,Standard,15.99,59
U100314,Premium,15.99,18
U100315,Basic,12.99,19
U100316,Basic,7.99,45
U100317,Premium,12.99,38
U100318,Basic,7.99,31
U100319,Basic,12.99,29
U100320,Basic,15.99,24
U100321,Basic,12.99,33
U100322,Standard,15.99,50
U100323,Basic,12.99,19
U100324,Basic,7.99,16
U100325,Standard,7.99,51
U100326,Basic,7.99,32
U100327,Premium,12.99,21
U100328,Basic,12.99,30
U100329,Standard,12.99,7
U100330,Standard,15.99,38
U100331,Standard,12.99,12
U100332,Premium,12.99,59
U100333,Standard,12.99,28
U100334,Basic,12.99,14
U100335,Standard,12.99,7
U100336,Premium,12.99,17
U100337,Basic,15.99,23
U100338,Premium,7.99,13
