user_id,subscription_type,monthly_fee,account_age_months,primary_device
U100000,Standard,15.99,17,Laptop
U100001,Standard,12.99,20,Tablet
U100002,Basic,15.99,25,Tablet
U100003,Standard,12.99,37,Smart TV
U100004,Premium,12.99,23,Mobile
U100005,Standard,12.99,23,Tablet
U100006,Basic,15.99,11,Tablet
U100007,Standard,15.99,46,Mobile
U100008,Basic,12.99,20,Laptop
U100009,Premium,15.99,7,Mobile
U100010,Standard,12.99,23,Mobile
U100011,Basic,12.99,23,Smart TV
U100012,Standard,7.99,27,Mobile
U100013,Standard,7.99,21,Smart TV
U100014,Basic,12.99,21,Mobile
U100015,Standard,15.99,58,Mobile
U100016,Premium,7.99,32,Laptop
U100017,Standard,7.99,50,Tablet
U100018,Standard,7.99,28,Smart TV
U100019,Basic,7.99,37,Tablet
U100020,Basic,12.99,2,Smart TV
U100021,Premium,12.99,29,Mobile
U100022,Premium,7.99,50,Mobile
U100023,Basic,12.99,9,Tablet
U100024,Standard,7.99,35,Tablet
U100025,Standard,12.99,38,Smart TV
U100026,Basic,15.99,39,Smart TV
U100027,Standard,15.99,47,Smart TV
U100028,Premium,7.99,4,Mobile
U100029,Standard,12.99,22,Mobile
U100030,Premium,7.99,23,Smart TV
U100031,Basic,7.99,6,Smart TV
U100032,Basic,7.99,36,Mobile
U100033,Standard,15.99,20,Tablet
U100034,Premium,15.99,51,Tablet
U100035,Premium,7.99,5,Laptop
U100036,Premium,15.99,12,Mobile
U100037,Standard,7.99,59,Laptop
U100038,Premium,7.99,1,Mobile
U100039,Basic,15.99,39,Tablet
U100040,Standard,15.99,41,Laptop
U100041,Standard,12.99,3,Laptop
U100042,Standard,7.99,42,Laptop
U100043,Standard,15.99,43,Laptop
U100044,Premium,15.99,56,Laptop
U100045,Premium,7.99,21,Tablet
U100046,Standard,15.99,2,Tablet
U100047,Premium,7.99,32,Laptop
U100048,Basic,7.99,29,Smart TV
U100049,Basic,15.99,47,Smart TV
U100050,Standard,12.99,28,Tablet
U100051,Standard,12.99,33,Smart TV
U100052,Basic,12.99,26,Tablet
U100053,Basic,7.99,15,Mobile
U100054,Standard,7.99,45,Tablet
U100055,Standard,15.99,26,Smart TV
U100056,Premium,12.99,9,Laptop
U100057,Basic,7.99,21,Laptop
U100058,Premium,15.99,20,Laptop
U100059,Premium,12.99,49,Mobile
U100060,Standard,12.99,27,Tablet
U100061,Standard,7.99,42,Smart TV
U100062,Standard,15.99,1,Tablet
U100063,Standard,7.99,9,Tablet
U100064,Standard,15.99,58,Laptop
U100065,Premium,12.99,51,Mobile
U100066,Standard,7.99,38,Laptop
U100067,Standard,7.99,20,Laptop
U100068,Standard,15.99,57,Smart TV
U100069,Premium,15.99,19,Laptop
U100070,Basic,7.99,44,Laptop
U100071,Standard,15.99,11,Mobile
U100072,Standard,15.99,14,Tablet
U100073,Premium,12.99,25,Mobile
U100074,Basic,12.99,12,Smart TV
U100075,Premium,12.99,45,Tablet
U100076,Premium,12.99,7,Smart TV
U100077,Premium,7.99,3,Laptop
U100078,Basic,12.99,39,Smart TV
U100079,Premium,12.99,16,Smart TV
U100080,Standard,7.99,1,Laptop
U100081,Standard,7.99,15,Tablet
U100082,Basic,15.99,44,Smart TV
U100083,Premium,12.99,11,Laptop
U100084,Basic,7.99,1,Tablet
U100085,Standard,12.99,3,Tablet
U100086,Basic,15.99,22,Laptop
U100087,Standard,7.99,43,Smart TV
U100088,Premium,15.99,6,Mobile
U100089,Basic,15.99,22,Mobile
U100090,Standard,12.99,45,Tablet
U100091,Premium,7.99,50,Smart TV
U100092,Standard,15.99,28,Laptop
U100093,Standard,7.99,14,Smart TV
U100094,Basic,12.99,46,Mobile
U100095,Premium,12.99,32,Laptop
U100096,Basic,12.99,58,Tablet
U100097,Standard,15.99,29,Mobile
U100098,Basic,7.99,5,Mobile
U100099,Basic,15.99,44,Smart TV
U100100,Premium,15.99,35,Smart TV
U100101,Basic,15.99,11,Smart TV
U100102,Basic,15.99,1,Laptop
U100103,Premium,7.99,48,Smart TV
U100104,Standard,12.99,7,Tablet
U100105,Standard,7.99,3,Mobile
U100106,Standard,12.99,22,Mobile
U100107,Standard,7.99,31,Mobile
U100108,Standard,7.99,3,Laptop
U100109,Standard,15.99,17,Mobile
U100110,Basic,12.99,18,Laptop
U100111,Standard,7.99,15,Laptop
U100112,Standard,7.99,55,Mobile
U100113,Premium,7.99,53,Smart TV
U100114,Basic,7.99,38,Mobile
U100115,Basic,15.99,35,Tablet
U100116,Premium,15.99,16,Laptop
U100117,Basic,15.99,41,Laptop
U100118,Standard,12.99,30,Laptop
U100119,Basic,12.99,35,Laptop
U100120,Basic,7.99,52,Mobile
U100121,Standard,15.99,17,Mobile
U100122,Standard,12.99,15,Mobile
U100123,Premium,12.99,42,Laptop
U100124,Premium,12.99,50,Tablet
U100125,Basic,7.99,27,Tablet
U100126,Basic,15.99,1,Tablet
U100127,Basic,15.99,30,Mobile
U100128,Premium,12.99,30,Smart TV
U100129,Premium,7.99,5,Mobile
U100130,Premium,7.99,1,Mobile
U100131,Basic,15.99,4,Laptop
U100132,Premium,7.99,11,Mobile
U100133,Premium,7.99,58,Laptop
U100134,Premium,7.99,13,Smart TV
U100135,Basic,12.99,10,Smart TV
U100136,Premium,7.99,44,Laptop
U100137,Standard,15.99,53,Mobile
U100138,Standard,15.99,24,Smart TV
U100139,Basic,7.99,20,Laptop
U100140,Premium,15.99,18,Laptop
U100141,Standard,15.99,23,Mobile
U100142,Premium,7.99,41,Smart TV
U100143,Standard,7.99,42,Mobile
U100144,Standard,12.99,43,Smart TV
U100145,Standard,7.99,35,Mobile
U100146,Standard,12.99,44,Smart TV
U100147,Standard,15.99,27,Tablet
U100148,Standard,12.99,15,Tablet
U100149,Basic,15.99,24,Mobile
U100150,Standard,7.99,30,Tablet
U100151,Premium,7.99,1,Tablet
U100152,Basic,7.99,41,Laptop
U100153,Standard,12.99,3,Tablet
U100154,Standard,15.99,39,Tablet
U100155,Standard,15.99,24,Smart TV
U100156,Standard,7.99,32,Laptop
U100157,Basic,7.99,4,Tablet
U100158,Premium,15.99,34,Smart TV
U100159,Standard,15.99,1,Mobile
U100160,Basic,15.99,21,Laptop
U100161,Standard,7.99,8,Laptop
U100162,Basic,12.99,46,Laptop
U100163,Premium,15.99,12,Smart TV
U100164,Standard,12.99,1,Tablet
U100165,Standard,7.99,22,Smart TV
U100166,Premium,12.99,14,Mobile
U100167,Standard,12.99,25,Laptop
U100168,Premium,15.99,28,Mobile
U100169,Basic,7.99,8,Tablet
U100170,Basic,15.99,40,Tablet
U100171,Standard,15.99,37,Smart TV
U100172,Premium,15.99,25,Smart TV
U100173,Premium,15.99,55,Tablet
U100174,Basic,15.99,23,Mobile
U100175,Premium,15.99,44,Smart TV
U100176,Standard,12.99,37,Mobile
U100177,Standard,15.99,41,Tablet
