user_id,favorite_genre,avg_watch_time_minutes,churned_id
U100000,Sci-Fi,220,0
U100001,Documentary,76,0
U100002,Comedy,215,0
U100003,Action,280,0
U100004,Horror,261,0
U100005,Documentary,92,0
U100006,Documentary,111,0
U100007,Sci-Fi,293,0
U100008,Romance,202,0
U100009,Action,246,1
U100010,Sci-Fi,44,0
U100011,Romance,182,0
U100012,Documentary,42,1
U100013,Documentary,68,0
U100014,Action,150,1
U100015,Documentary,294,0
U100016,Thriller,141,0
U100017,Romance,154,0
U100018,Comedy,219,0
U100019,Comedy,20,0
U100020,Comedy,283,0
U100021,Drama,80,0
U100022,Documentary,275,1
U100023,Thriller,171,1
U100024,Drama,241,0
U100025,Drama,52,0
U100026,Thriller,182,0
U100027,Drama,128,0
U100028,Sci-Fi,127,0
U100029,Thriller,18,1
U100030,Action,291,0
U100031,Horror,242,0
U100032,Drama,18,0
U100033,Horror,271,1
U100034,Horror,72,1
U100035,Romance,212,0
U100036,Action,122,0
U100037,Sci-Fi,64,1
U100038,Action,27,0
U100039,Action,218,0
U100040,Horror,262,0
U100041,Horror,263,0
U100042,Thriller,129,0
U100043,Romance,190,0
U100044,Sci-Fi,265,0
U100045,Horror,123,0
U100046,Documentary,133,1
U100047,Romance,107,0
U100048,Sci-Fi,126,0
U100049,Thriller,12,0
U100050,Comedy,27,0
U100051,Action,106,0
U100052,Documentary,285,1
U100053,Drama,217,0
U100054,Documentary,220,0
U100055,Action,283,0
U100056,Romance,231,0
U100057,Comedy,52,0
U100058,Sci-Fi,197,0
U100059,Horror,167,0
U100060,Drama,226,0
U100061,Romance,251,0
U100062,Action,250,0
U100063,Thriller,119,0
U100064,Thriller,297,1
U100065,Horror,44,0
U100066,Romance,71,0
U100067,Comedy,161,0
U100068,Drama,170,0
U100069,Romance,95,0
U100070,Horror,297,0
U100071,Comedy,175,0
U100072,Drama,182,0
U100073,Documentary,253,0
U100074,Thriller,283,0
U100075,Action,204,0
U100076,Romance,259,0
U100077,Action,129,0
U100078,Sci-Fi,55,0
U100079,Comedy,235,0
U100080,Romance,251,0
U100081,Documentary,49,0
U100082,Horror,165,0
U100083,Sci-Fi,75,0
U100084,Action,168,0
U100085,Horror,266,0
U100086,Action,56,0
U100087,Comedy,176,0
U100088,Romance,188,0
U100089,Thriller,120,0
U100090,Documentary,10,0
U100091,Sci-Fi,15,1
U100092,Comedy,297,0
U100093,Documentary,13,0
U100094,Thriller,242,0
U100095,Drama,185,0
U100096,Thriller,129,0
U100097,Sci-Fi,214,0
U100098,Sci-Fi,254,0
U100099,Romance,10,0
U100100,Comedy,154,0
U100101,Comedy,47,1
U100102,Horror,250,0
U100103,Action,58,0
U100104,Comedy,215,1
U100105,Horror,248,0
U100106,Horror,114,1
U100107,Sci-Fi,96,0
U100108,Sci-Fi,212,0
U100109,Thriller,283,0
U100110,Drama,212,0
U100111,Documentary,210,0
U100112,Sci-Fi,235,1
U100113,Documentary,26,0
U100114,Documentary,36,0
U100115,Comedy,60,0
U100116,Drama,235,0
U100117,Drama,105,0
U100118,Thriller,131,1
U100119,Drama,184,0
U100120,Action,61,0
U100121,Romance,184,0
U100122,Comedy,45,1
U100123,Sci-Fi,77,0
U100124,Documentary,118,0
U100125,Action,281,1
U100126,Romance,236,0
U100127,Horror,175,1
U100128,Comedy,93,0
U100129,Romance,240,0
U100130,Romance,134,1
U100131,Thriller,182,0
U100132,Horror,208,0
U100133,Thriller,241,0
U100134,Romance,173,0
U100135,Drama,12,0
U100136,Thriller,206,1
U100137,Romance,24,0
U100138,Action,185,0
U100139,Romance,271,1
U100140,Thriller,13,0
U100141,Comedy,42,1
U100142,Thriller,118,0
U100143,Drama,76,0
U100144,Thriller,189,0
U100145,Thriller,46,0
U100146,Romance,172,0
U100147,Comedy,213,0
U100148,Thriller,235,0
U100149,Romance,221,0
U100150,Sci-Fi,142,0
U100151,Comedy,122,0
U100152,Horror,241,0
U100153,Action,280,0
U100154,Thriller,249,0
U100155,Romance,252,0
U100156,Comedy,118,0
U100157,Comedy,252,0
U100158,Romance,270,0
U100159,Action,67,1
U100160,Documentary,66,0
U100161,Documentary,204,1
U100162,Sci-Fi,212,0
U100163,Romance,198,0
U100164,Romance,69,0
U100165,Thriller,203,0
U100166,Thriller,271,0
U100167,Thriller,220,0
U100168,Action,223,1
U100169,Thriller,132,0
U100170,Drama,236,0
U100171,Comedy,10,0
U100172,Documentary,124,0
U100173,Comedy,41,0
U100174,Sci-Fi,189,1
U100175,Horror,294,0
U100176,Romance,60,0
U100177,Drama,265,0
U100178,Horror,160,0
U100179,Drama,169,1
U100180,Horror,269,1
U100181,Drama,162,0
U100182,Horror,69,0
U100183,Thriller,37,0
U100184,Horror,82,0
U100185,Documentary,236,0
U100186,Documentary,138,1
U100187,Thriller,114,0
U100188,Thriller,275,0
U100189,Documentary,111,0
U100190,Drama,174,1
U100191,Horror,105,0
U100192,Romance,248,0
U100193,Comedy,65,0
U100194,Documentary,183,0
U100195,Romance,28,0
U100196,Sci-Fi,156,0
U100197,Drama,85,0
U100198,Documentary,290,0
U100199,Sci-Fi,279,0
U100200,Horror,278,0
U100201,Horror,12,0
U100202,Horror,252,0
U100203,Horror,176,0
U100204,Romance,31,0
U100205,Sci-Fi,246,0
U100206,Sci-Fi,295,1
U100207,Comedy,213,0
U100208,Comedy,66,0
U100209,Comedy,70,0
U100210,Comedy,41,0
U100211,Sci-Fi,276,1
U100212,Documentary,67,0
U100213,Thriller,166,0
U100214,Sci-Fi,242,0
U100215,Comedy,263,1
U100216,Romance,95,0
U100217,Action,159,0
U100218,Action,231,0
U100219,Horror,259,0
U100220,Comedy,100,1
U100221,Action,65,0
U100222,Comedy,128,0
U100223,Documentary,76,0
U100224,Horror,123,0
U100225,Drama,149,0
U100226,Horror,27,0
U100227,Documentary,206,1
U100228,Drama,73,0
U100229,Thriller,44,0
U100230,Sci-Fi,262,0
U100231,Action,240,0
U100232,Thriller,128,0
U100233,Comedy,148,1
U100234,Action,208,0
U100235,Romance,21,0
U100236,Romance,235,0
U100237,Action,119,0
U100238,Drama,275,1
U100239,Sci-Fi,18,0
U100240,Thriller,91,1
U100241,Sci-Fi,44,1
U100242,Documentary,49,1
U100243,Romance,38,0
U100244,Horror,147,0
U100245,Action,276,1
U100246,Drama,153,1
U100247,Drama,234,0
U100248,Thriller,167,0
U100249,Horror,234,0
U100250,Documentary,30,1
U100251,Comedy,100,0
U100252,Action,134,0
U100253,Romance,169,0
U100254,Drama,198,1
U100255,Horror,298,0
U100256,Thriller,38,0
U100257,Horror,67,0
U100258,Action,97,0
U100259,Documentary,288,0
U100260,Documentary,246,0
U100261,Comedy,233,0
U100262,Romance,103,0
U100263,Action,254,0
U100264,Action,167,1
U100265,Sci-Fi,257,0
U100266,Drama,14,0
U100267,Drama,137,0
U100268,Documentary,23,0
U100269,Action,76,0
U100270,Horror,287,0
U100271,Romance,221,0
U100272,Documentary,11,0
U100273,Horror,162,0
U100274,Action,115,0
U100275,Sci-Fi,84,1
U100276,Documentary,276,0
U100277,Sci-Fi,66,1
U100278,Comedy,98,0
U100279,Horror,74,0
U100280,Horror,217,0
U100281,Thriller,173,0
U100282,Action,182,0
U100283,Horror,13,0
U100284,Romance,246,1
U100285,Horror,79,0
U100286,Romance,291,0
U100287,Horror,254,1
U100288,Drama,161,0
U100289,Romance,271,0
U100290,Horror,215,0
U100291,Horror,159,0
U100292,Sci-Fi,149,0
U100293,Romance,286,1
U100294,Horror,221,0
U100295,Sci-Fi,293,0
U100296,Documentary,188,0
U100297,Drama,212,1
